;;;0 - 4;5 - 9;10 - 14;15 - 19;20 - 24;25 - 29;30 - 34;35 - 39;40 - 44;45 - 49;50 - 54;55 - 59;60 - 64;65 - 69;70 - 74;75 - 79;80 - 84;85+;
1999;weiblich;Mundhöhle und Rachen (C00-C14);0,1;0,1;0,1;0,2;0,3;0,5;0,8;1,4;2,4;5,6;9,9;12,5;14,6;15,5;13,9;14,1;14,5;22,4;
1999;weiblich;Speiseröhre (C15);0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,2;0,5;1,3;2,7;4,2;5,9;5,2;8,2;8,8;11,1;13,8;
1999;weiblich;Magen (C16);0,0;0,0;0,0;0,1;0,2;0,7;1,9;3,0;4,8;7,9;12,4;17,5;25,4;39,1;52,5;84,1;102,9;182,4;
1999;weiblich;Dünndarm (C17);0,0;0,0;0,0;0,0;0,0;0,1;0,2;0,3;0,5;0,8;1,2;1,8;2,2;2,7;3,0;3,4;4,0;3,4;
1999;weiblich;Darm (C18-C20);0,0;0,0;0,0;1,5;1,8;2,3;4,3;7,3;13,0;23,4;43,4;71,0;97,8;149,1;236,4;322,0;367,9;462,2;
1999;weiblich;Anus u. Analkanal (C21);0,0;0,0;0,0;0,0;0,0;0,1;0,2;0,5;1,0;1,8;2,6;3,1;3,3;3,5;3,7;4,0;5,1;9,2;
1999;weiblich;Leber (C22);0,1;0,0;0,0;0,1;0,1;0,2;0,3;0,6;1,0;1,7;3,2;2,5;7,9;12,4;21,7;19,2;25,2;34,2;
1999;weiblich;Gallenblase und Gallenwege (C23-C24);0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,4;0,7;1,9;3,6;6,4;13,5;17,2;30,4;43,1;54,9;70,7;
1999;weiblich;Bauchspeicheldrüse (C25);0,0;0,0;0,0;0,1;0,1;0,2;0,6;1,1;2,1;4,5;8,7;15,5;24,4;36,3;52,0;70,8;87,5;110,4;
1999;weiblich;Lunge (C33-C34);0,0;0,0;0,0;0,1;0,3;0,5;0,9;2,5;7,2;13,4;32,5;38,6;56,9;72,1;77,9;86,8;85,7;71,8;
1999;weiblich;Knochen u. Gelenkknorpel (C40-C41);0,2;0,4;0,9;1,2;0,7;0,7;0,5;0,6;0,5;0,6;0,7;0,9;0,9;0,9;1,2;1,4;1,9;1,9;
1999;weiblich;Malignes Melanom der Haut (C43);0,0;0,0;0,0;1,5;10,4;10,9;13,1;15,2;14,9;21,2;24,9;21,9;25,2;20,4;30,9;26,4;35,8;30,3;
1999;weiblich;Weichteile u. mesotheliales Gewebe (C45-C49);2,1;0,7;0,6;1,1;1,0;1,1;1,3;1,7;2,3;3,0;4,2;5,2;7,3;9,9;11,2;14,0;14,5;14,7;
1999;weiblich;Brustdrüse (C50);0,0;0,0;0,0;0,1;1,5;9,0;25,5;51,2;98,1;163,9;212,0;259,1;289,5;276,5;301,1;309,9;329,2;385,6;
1999;weiblich;Vulva (C51);0,1;0,0;0,0;0,0;0,2;0,5;0,8;1,2;1,9;2,7;3,3;4,3;4,3;4,8;9,1;15,0;15,4;23,4;
1999;weiblich;Vagina (C52);0,1;0,0;0,0;0,0;0,0;0,0;0,1;0,2;0,5;0,8;1,2;1,7;2,3;2,9;3,8;4,8;6,5;7,2;
1999;weiblich;Gebärmutterhals (C53);0,0;0,0;0,0;0,1;1,5;7,5;16,2;22,0;25,0;18,7;20,6;21,0;17,3;18,9;21,4;28,5;31,8;22,0;
1999;weiblich;Gebärmutterkörper (C54-C55);0,0;0,0;0,0;0,1;0,2;0,5;1,6;3,5;6,5;13,9;28,6;46,8;61,5;65,8;84,0;80,9;71,1;94,7;
1999;weiblich;Eierstöcke (C56);0,1;0,1;0,6;1,3;1,6;2,4;3,4;4,9;9,8;16,7;24,3;40,7;46,7;43,8;53,3;67,3;67,2;68,5;
1999;weiblich;Plazenta (C58);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,1;0,1;0,1;0,1;0,1;0,2;
1999;weiblich;Penis (C60);x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;
1999;weiblich;Prostata (C61);x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;
1999;weiblich;Hoden (C62);x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;
1999;weiblich;Niere (C64);2,2;0,5;0,0;0,2;0,2;0,6;1,0;1,8;3,4;5,9;9,9;16,4;24,1;35,2;31,6;47,9;39,6;41,9;
1999;weiblich;Harnblase (C67);0,2;0,0;0,0;0,0;0,1;0,2;0,4;0,6;1,2;2,4;4,8;8,0;12,4;20,1;29,1;41,1;57,0;82,2;
1999;weiblich;Auge, Gehirn u. Zentrales Nervensystem (C69-C72);3,4;2,1;1,8;1,6;2,0;2,7;3,2;3,9;4,9;5,9;7,9;10,6;14,4;18,8;20,2;22,3;22,3;17,3;
1999;weiblich;Schilddrüse (C73);0,1;0,2;0,5;2,1;4,0;6,1;8,4;5,7;9,8;11,2;12,3;12,5;12,4;12,3;16,8;9,8;9,1;10,1;
1999;weiblich;Nebenniere (C74);1,4;0,1;0,1;0,0;0,0;0,0;0,0;0,0;0,1;0,1;0,2;0,3;0,4;0,6;0,7;0,8;0,8;0,7;
1999;weiblich;Morbus Hodgkin (C81);0,0;0,3;1,7;3,3;3,9;3,5;2,6;2,3;1,6;1,3;1,4;1,4;1,7;1,9;2,5;3,0;3,3;2,7;
1999;weiblich;Non-Hodgkin-Lymphome (C82-C88);0,5;0,8;0,7;1,1;1,8;2,1;2,6;3,5;4,8;6,4;11,1;17,8;22,7;34,7;43,8;46,4;61,7;66,8;
1999;weiblich;Multiples Myelom (C90);0,0;0,0;0,0;0,0;0,0;0,1;0,1;0,6;1,2;2,4;3,7;6,9;11,0;15,8;22,3;30,9;29,5;29,3;
1999;weiblich;Leukämien (C91-C95);7,9;3,0;2,3;2,1;1,9;2,0;2,5;3,4;4,4;6,0;8,6;11,8;20,5;25,0;32,4;43,2;53,3;75,4;
1999;männlich;Mundhöhle und Rachen (C00-C14);0,0;0,0;0,1;0,3;0,4;0,8;1,5;3,3;9,7;23,5;38,6;54,9;60,7;51,3;48,7;43,6;40,0;43,3;
1999;männlich;Speiseröhre (C15);0,0;0,0;0,0;0,0;0,0;0,0;0,2;0,7;2,6;7,2;15,3;24,6;32,4;38,1;37,8;39,8;23,1;34,0;
1999;männlich;Magen (C16);0,0;0,0;0,0;0,1;0,3;0,6;1,5;3,0;6,5;12,1;24,3;37,3;57,0;87,4;128,7;158,9;226,0;283,7;
1999;männlich;Dünndarm (C17);0,0;0,0;0,0;0,0;0,0;0,1;0,2;0,4;0,8;1,2;2,0;2,8;3,9;5,1;6,3;7,2;7,9;7,5;
1999;männlich;Darm (C18-C20);0,0;0,0;0,0;0,6;1,2;2,0;4,0;7,4;13,3;28,2;57,5;109,0;175,3;273,0;358,5;459,7;536,7;566,4;
