;;;0 - 4;5 - 9;10 - 14;15 - 19;20 - 24;25 - 29;30 - 34;35 - 39;40 - 44;45 - 49;50 - 54;55 - 59;60 - 64;65 - 69;70 - 74;75 - 79;80 - 84;85+;
1999;weiblich;Mundhöhle und Rachen (C00-C14);0,0;0,0;0,0;0,0;0,0;0,2;0,1;0,3;1,0;2,0;4,5;4,3;4,6;5,4;6,0;7,7;12,3;20,8;
1999;weiblich;Speiseröhre (C15);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,5;0,9;2,3;2,7;3,1;4,9;6,2;7,6;11,4;17,9;
1999;weiblich;Magen (C16);0,0;0,0;0,0;0,0;0,1;0,5;0,6;1,6;2,7;4,5;7,1;9,7;14,2;22,6;38,7;57,4;94,0;153,9;
1999;weiblich;Dünndarm (C17);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,2;0,4;0,5;0,7;0,9;1,1;2,6;2,3;
1999;weiblich;Darm (C18-C20);0,1;0,0;0,0;0,1;0,1;0,4;1,0;1,8;3,7;6,8;13,3;24,1;38,7;58,7;105,7;159,6;240,6;376,4;
1999;weiblich;Anus u. Analkanal (C21);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,3;0,3;0,3;0,6;0,9;0,8;1,4;2,6;5,0;
1999;weiblich;Leber (C22);0,2;0,1;0,0;0,0;0,0;0,1;0,1;0,3;0,6;1,3;2,5;3,1;6,1;10,5;17,0;23,9;29,0;33,0;
1999;weiblich;Gallenblase und Gallenwege (C23-C24);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,3;0,3;1,0;2,3;4,6;8,6;15,2;24,4;34,5;48,9;62,5;
1999;weiblich;Bauchspeicheldrüse (C25);0,1;0,0;0,0;0,0;0,0;0,1;0,2;0,4;1,5;3,0;6,3;12,2;19,5;31,1;48,0;69,4;94,8;111,4;
1999;weiblich;Lunge (C33-C34);0,1;0,0;0,0;0,0;0,0;0,2;0,4;2,1;5,9;12,8;23,1;29,4;39,5;58,4;73,3;86,1;95,8;89,5;
